symbol,name,datetime,price,,,,
GM,General Motors Co.,"2021-02-18,  16:00:00 ",52.16,,,,
GM,General Motors Co.,"2021-02-19,  9:00:00 ",53.07,,,,
GM,General Motors Co.,"2021-02-19,  12:00:00 ",52.43,,,,
GM,General Motors Co.,"2021-02-19,  16:00:00 ",52.57,,,,
GM,General Motors Co.,"2021-02-22,  9:00:00 ",52.35,,,,
GM,General Motors Co.,"2021-02-22,  12:00:00 ",52.72,,,,
GM,General Motors Co.,"2021-02-22,  16:00:00 ",51.98,,,,
GM,General Motors Co.,"2021-02-23,  9:00:00 ",50.25,,,,
GM,General Motors Co.,"2021-02-23,  12:00:00 ",50.46,,,,
GM,General Motors Co.,"2021-02-23,  16:00:00 ",51.11,,,,
BAC,Bank of America Corp.,"2021-02-09,  9:00:00 ",32.89,,,,
BAC,Bank of America Corp.,"2021-02-09,  12:00:00 ",32.93,,,,
BAC,Bank of America Corp.,"2021-02-09,  16:00:00 ",32.95,,,,
BAC,Bank of America Corp.,"2021-02-10,  9:00:00 ",33.31,,,,
BAC,Bank of America Corp.,"2021-02-10,  12:00:00 ",33.22,,,,
BAC,Bank of America Corp.,"2021-02-10,  16:00:00 ",32.98,,,,
BAC,Bank of America Corp.,"2021-02-11,  9:00:00 ",33.06,,,,
BAC,Bank of America Corp.,"2021-02-11,  12:00:00 ",32.72,,,,
BAC,Bank of America Corp.,"2021-02-11,  16:00:00 ",32.88,,,,
BAC,Bank of America Corp.,"2021-02-12,  9:00:00 ",33.27,,,,
BAC,Bank of America Corp.,"2021-02-12,  12:00:00 ",33.19,,,,
BAC,Bank of America Corp.,"2021-02-12,  16:00:00 ",33.37,,,,
BAC,Bank of America Corp.,"2021-02-16,  9:00:00 ",33.94,,,,
BAC,Bank of America Corp.,"2021-02-16,  12:00:00 ",34.36,,,,
BAC,Bank of America Corp.,"2021-02-16,  16:00:00 ",34.27,,,,
BAC,Bank of America Corp.,"2021-02-17,  9:00:00 ",34.2,,,,
BAC,Bank of America Corp.,"2021-02-17,  12:00:00 ",34.22,,,,
BAC,Bank of America Corp.,"2021-02-17,  16:00:00 ",34.41,,,,
BAC,Bank of America Corp.,"2021-02-18,  9:00:00 ",34.5,,,,
BAC,Bank of America Corp.,"2021-02-18,  12:00:00 ",34.07,,,,
BAC,Bank of America Corp.,"2021-02-18,  16:00:00 ",34.19,,,,
BAC,Bank of America Corp.,"2021-02-19,  9:00:00 ",34.55,,,,
BAC,Bank of America Corp.,"2021-02-19,  12:00:00 ",34.43,,,,
BAC,Bank of America Corp.,"2021-02-19,  16:00:00 ",34.54,,,,
BAC,Bank of America Corp.,"2021-02-22,  9:00:00 ",34.98,,,,
BAC,Bank of America Corp.,"2021-02-22,  12:00:00 ",35.15,,,,
BAC,Bank of America Corp.,"2021-02-22,  16:00:00 ",35.15,,,,
BAC,Bank of America Corp.,"2021-02-23,  9:00:00 ",35.41,,,,
BAC,Bank of America Corp.,"2021-02-23,  12:00:00 ",35.44,,,,
BAC,Bank of America Corp.,"2021-02-23,  16:00:00 ",35.52,,,,
KSS,Kohl's Corp.,"2021-02-09,  9:00:00 ",50.78,,,,
KSS,Kohl's Corp.,"2021-02-09,  12:00:00 ",50.15,,,,
KSS,Kohl's Corp.,"2021-02-09,  16:00:00 ",49.85,,,,
KSS,Kohl's Corp.,"2021-02-10,  9:00:00 ",50.24,,,,
KSS,Kohl's Corp.,"2021-02-10,  12:00:00 ",50.79,,,,
KSS,Kohl's Corp.,"2021-02-10,  16:00:00 ",49.98,,,,
KSS,Kohl's Corp.,"2021-02-11,  9:00:00 ",50.88,,,,
KSS,Kohl's Corp.,"2021-02-11,  12:00:00 ",50.71,,,,
KSS,Kohl's Corp.,"2021-02-11,  16:00:00 ",50.55,,,,
KSS,Kohl's Corp.,"2021-02-12,  9:00:00 ",49.71,,,,
KSS,Kohl's Corp.,"2021-02-12,  12:00:00 ",49.57,,,,
KSS,Kohl's Corp.,"2021-02-12,  16:00:00 ",50.08,,,,
KSS,Kohl's Corp.,"2021-02-16,  9:00:00 ",49.32,,,,
KSS,Kohl's Corp.,"2021-02-16,  12:00:00 ",50.16,,,,
KSS,Kohl's Corp.,"2021-02-16,  16:00:00 ",50.36,,,,
KSS,Kohl's Corp.,"2021-02-17,  9:00:00 ",50.22,,,,
KSS,Kohl's Corp.,"2021-02-17,  12:00:00 ",49.62,,,,
KSS,Kohl's Corp.,"2021-02-17,  16:00:00 ",49.73,,,,
KSS,Kohl's Corp.,"2021-02-18,  9:00:00 ",48.66,,,,
KSS,Kohl's Corp.,"2021-02-18,  12:00:00 ",48.21,,,,
KSS,Kohl's Corp.,"2021-02-18,  16:00:00 ",48.58,,,,
KSS,Kohl's Corp.,"2021-02-19,  9:00:00 ",50.34,,,,
KSS,Kohl's Corp.,"2021-02-19,  12:00:00 ",51.54,,,,
KSS,Kohl's Corp.,"2021-02-19,  16:00:00 ",52.7,,,,
KSS,Kohl's Corp.,"2021-02-22,  9:00:00 ",56.94,,,,
KSS,Kohl's Corp.,"2021-02-22,  12:00:00 ",56.85,,,,
KSS,Kohl's Corp.,"2021-02-22,  16:00:00 ",55.97,,,,
KSS,Kohl's Corp.,"2021-02-23,  9:00:00 ",52.66,,,,
KSS,Kohl's Corp.,"2021-02-23,  12:00:00 ",55.53,,,,
KSS,Kohl's Corp.,"2021-02-23,  16:00:00 ",55.75,,,,
